expiry_years,strike,implied_vol
0.25,80.0,0.27938655387543887
0.25,84.0,0.2765439840150622
0.25,88.0,0.2621039375126529
0.25,92.0,0.25532866915754004
0.25,96.0,0.25250790277171903
0.25,100.0,0.2518319312616061
0.25,104.0,0.24453048711128028
0.25,108.0,0.24639462998600314
0.25,112.0,0.23957453822122107
0.25,116.0,0.23803003209497423
0.25,120.0,0.23405612132848153
0.5,80.0,0.27166832009153014
0.5,84.0,0.26447776687170543
0.5,88.0,0.24867553459740052
0.5,92.0,0.25157943361120294
0.5,96.0,0.24862095865117473
0.5,100.0,0.2404104335339135
0.5,104.0,0.23829959405326825
0.5,108.0,0.2302399361295289
0.5,112.0,0.22765481138943727
0.5,116.0,0.2306958600545472
0.5,120.0,0.21811021031714012
1.0,80.0,0.2614131060653816
1.0,84.0,0.25123077010207284
1.0,88.0,0.24821464104751556
1.0,92.0,0.23906011624254592
1.0,96.0,0.24076081226350143
1.0,100.0,0.2785542965809524
1.0,104.0,0.22862852798871203
1.0,108.0,0.22998564459296844
1.0,112.0,0.21469215612313255
1.0,116.0,0.2191924361357446
1.0,120.0,0.21143974592351797
1.5,80.0,0.25185541062159
1.5,84.0,0.24469785361817442
1.5,88.0,0.24543251782270428
1.5,92.0,0.23329164330260213
1.5,96.0,0.22791924499270025
1.5,100.0,0.22187005038167118
1.5,104.0,0.22535075120209086
1.5,108.0,0.2139700547584175
1.5,112.0,0.21311303443599233
1.5,116.0,0.21192099914955354
1.5,120.0,0.2079582465516014
2.0,80.0,0.24927636790633018
2.0,84.0,0.23430507333210424
2.0,88.0,0.22396357720919619
2.0,92.0,0.2202376541842359
2.0,96.0,0.21910178974506495
2.0,100.0,0.21287597263630223
2.0,104.0,0.21373238451543003
2.0,108.0,0.20982861251239507
2.0,112.0,0.205957698085275
2.0,116.0,0.20071224688877448
2.0,120.0,0.20381284798705193
