date,ticker,excess_return
2014-01-31,ASSET_01,0.0
2014-01-31,ASSET_02,0.0
2014-01-31,ASSET_03,0.0
2014-01-31,ASSET_04,0.0
2014-01-31,ASSET_05,0.0
2014-01-31,ASSET_06,0.0
2014-01-31,ASSET_07,0.0
2014-01-31,ASSET_08,0.0
2014-01-31,ASSET_09,0.0
2014-01-31,ASSET_10,0.0
2014-01-31,ASSET_11,0.0
2014-01-31,ASSET_12,0.0
2014-01-31,ASSET_13,0.0
2014-01-31,ASSET_14,0.0
2014-01-31,ASSET_15,0.0
2014-01-31,ASSET_16,0.0
2014-01-31,ASSET_17,0.0
2014-01-31,ASSET_18,0.0
2014-01-31,ASSET_19,0.0
2014-01-31,ASSET_20,0.0
2014-01-31,ASSET_21,0.0
2014-01-31,ASSET_22,0.0
2014-01-31,ASSET_23,0.0
2014-01-31,ASSET_24,0.0
2014-01-31,ASSET_25,0.0
2014-01-31,ASSET_26,0.0
2014-01-31,ASSET_27,0.0
2014-01-31,ASSET_28,0.0
2014-01-31,ASSET_29,0.0
2014-01-31,ASSET_30,0.0
2014-01-31,ASSET_31,0.0
2014-01-31,ASSET_32,0.0
2014-01-31,ASSET_33,0.0
2014-01-31,ASSET_34,0.0
2014-01-31,ASSET_35,0.0
2014-01-31,ASSET_36,0.0
2014-01-31,ASSET_37,0.0
2014-01-31,ASSET_38,0.0
2014-01-31,ASSET_39,0.0
2014-01-31,ASSET_40,0.0
2014-01-31,ASSET_41,0.0
2014-01-31,ASSET_42,0.0
2014-01-31,ASSET_43,0.0
2014-01-31,ASSET_44,0.0
2014-01-31,ASSET_45,0.0
2014-01-31,ASSET_46,0.0
2014-01-31,ASSET_47,0.0
2014-01-31,ASSET_48,0.0
2014-01-31,ASSET_49,0.0
2014-01-31,ASSET_50,0.0
2014-02-28,ASSET_01,0.0015211650921225055
2014-02-28,ASSET_02,0.018738787201849794
2014-02-28,ASSET_03,0.024037068688788972
2014-02-28,ASSET_04,-0.07197926011872192
2014-02-28,ASSET_05,0.0545854932685523
2014-02-28,ASSET_06,-0.010247683765278242
2014-02-28,ASSET_07,0.0009341074059753533
2014-02-28,ASSET_08,-0.05349872545835474
2014-02-28,ASSET_09,-0.04550494276298986
2014-02-28,ASSET_10,0.0528624474710721
